127.0.0.1 - - [16/Jun/2018:10:10:11 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:12 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 8638
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:12 +0530] "GET /CollaborationFrontEnd/c_resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:12 +0530] "GET /CollaborationFrontEnd/c_resources/css/theme.css HTTP/1.1" 200 131226
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:12 +0530] "GET /CollaborationFrontEnd/c_resources/css/my.css HTTP/1.1" 200 9119
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:12 +0530] "GET /CollaborationFrontEnd/c_resources/css/style.css HTTP/1.1" 200 9119
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:12 +0530] "GET /CollaborationFrontEnd/c_resources/css/default.css HTTP/1.1" 200 3899
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:12 +0530] "GET /CollaborationFrontEnd/c_user/UserListController.js HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:12 +0530] "GET /CollaborationFrontEnd/c_event/EventController.js HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:12 +0530] "GET /CollaborationFrontEnd/c_event/EventService.js HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:13 +0530] "GET /CollaborationFrontEnd/mainApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:13 +0530] "GET /CollaborationFrontEnd/c_resources/images/isOffline.png HTTP/1.1" 200 39524
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:13 +0530] "GET /CollaborationFrontEnd/c_resources/images/isOnline.png HTTP/1.1" 200 28625
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:13 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:13 +0530] "GET /CollaborationFrontEnd/c_resources/images/logo4.png HTTP/1.1" 200 38248
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:13 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:13 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:13 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:13 +0530] "GET /CollaborationFrontEnd/c_friend/FriendController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2018:10:10:13 +0530] "GET /CollaborationFrontEnd/c_forum/ForumController.js HTTP/1.1" 200 2127
